# 이전 전형|현재 전형 (자동 페어링)
서류 지원|서류 발표
NCS 시험|NCS 시험 발표
필기 전형|필기 전형 발표
인적성 검사|인적성 검사 발표
적성 검사|적성 검사 발표
인성 검사|인성 검사 발표
역량 검사|역량 검사 발표
SW 역량 테스트|SW 역량 테스트 발표
AI 역량 검사|AI 역량 검사 발표
코딩 테스트|코딩 테스트 발표
과제|과제 발표
GSAT 시험|GSAT 시험 발표
SKCT 시험|SKCT 시험 발표
HMAT 시험|HMAT 시험 발표
LG Way Fit Test|LG Way Fit Test 발표
L-TAB 시험|L-TAB 시험 발표
CJ CAT 시험|CJ CAT 시험 발표
G-AT 시험|G-AT 시험 발표
PAT 시험|PAT 시험 발표
HATCH 시험|HATCH 시험 발표
1차 면접|1차 면접 발표
2차 면접|2차 면접 발표
3차 면접|3차 면접 발표
실무진 면접|실무진 면접 발표
기술 면접|기술 면접 발표
직무 면접|직무 면접 발표
임원 면접|임원 면접 발표
PT 면접|PT 면접 발표
토론 면접|토론 면접 발표
컬처핏 면접|컬처핏 면접 발표
부서장 면접|부서장 면접 발표
최종 면접|최종 발표
